,first_city,second_city,length,speed_limit,name_of_highway,Junction
7418,"Jct_A-10_&_A-30,_Quebec","Jct_A-10_&_A-35,_Quebec",11,62,A-10,1
7419,"Jct_A-10_&_A-30,_Quebec","Jct_A-20_&_A-30,_Quebec",15,30,A-30,1
7420,"Jct_A-10_&_A-35,_Quebec","Jct_A-10_&_PQ_139,_Quebec",44,62,A-10,1
7421,"Jct_A-10_&_PQ_139,_Quebec","Waterloo,_Quebec",21,62,A-10,1
7422,"Jct_A-10/55_&_A-410,_Quebec","Magog,_Quebec",26,62,A-10/55,1
7423,"Jct_A-10/55_&_A-410,_Quebec","Sherbrooke,_Quebec",4,50,A-410,1
7424,"Jct_A-15_&_PQ_202,_Quebec","Pike-River,_Quebec",37,50,PQ_202,1
7425,"Jct_A-20_&_A-30,_Quebec","Sorel,_Quebec",58,62,A-30,1
7426,"Jct_A-20_&_PQ_116_N,_Quebec","St-Hyacinthe,_Quebec",17,62,A-20,1
7427,"Jct_A-20_&_PQ_155,_Quebec","St-Celestin,_Quebec",21,50,PQ_155,1
7428,"Jct_A-20_&_PQ_155,_Quebec","Ste-Eulalie,_Quebec",10,62,A-20,1
7429,"Jct_A-31_&_A-40,_Quebec","Joliette,_Quebec",15,62,A-31,1
7430,"Jct_A-31_&_A-40,_Quebec","Repentigny,_Quebec",26,30,A-40,1
7431,"Jct_A-55_&_PQ_141,_Quebec","Magog,_Quebec",14,62,A-55,1
7432,"Jct_A-55_&_PQ_141,_Quebec","Stanstead,_Quebec",18,62,A-55,1
7433,"Jct_AB_1_&_AB_21,_Alberta","Jct_AB_1_&_AB_56,_Alberta",60,35,AB_1,1
7434,"Jct_AB_1_&_AB_21,_Alberta","Jct_AB_9_&_AB_21,_Alberta",39,50,AB_21,1
7435,"Jct_AB_23_&_AB_24,_Alberta","Monarch,_Alberta",91,50,AB_23,1
7436,"Jct_AB_9_&_AB_21,_Alberta","Trochu,_Alberta",46,50,AB_21,1
7437,"Jct_AL_20_&_Natchez_Trace_Pkwy,_Alabama","Jct_US_72_&_Natchez_Trace_Pkwy,_Alabama",16,45,Natchez_Trace_Pkwy,1
7438,"Jct_AL_20_&_Natchez_Trace_Pkwy,_Alabama","Savannah,_Tennessee",34,45,AL_20/TN_69,1
7439,"Jct_Alt_US_45_&_MS_8,_Mississippi","Jct_MS_8_&_Natchez_Trace_Pkwy,_Mississippi",15,45,MS_8,1
7440,"Jct_Alt_US_45_&_MS_8,_Mississippi","Mayhew,_Mississippi",25,52,Alt_US_45,1
7441,"Jct_Alt_US_45_&_MS_8,_Mississippi","Okolona,_Mississippi",12,52,Alt_US_45,1
7442,"Jct_BC_3_&_BC_3B_E,_British_Columbia","Salmo,_British_Columbia",11,50,BC_3,1
7443,"Jct_BC_3_&_BC_3B_E,_British_Columbia","Trail,_British_Columbia",30,50,BC_3B,1
7444,"Jct_BC_97_&_BC_99,_British_Columbia","Lillooet,_British_Columbia",75,50,BC_99,1
7445,"Jct_BC_97_&_BC_99,_British_Columbia","Williams_Lake,_British_Columbia",192,50,BC_97,1
7446,"Jct_CA_36/89_&_CA_32,_California","Mill_Creek,_California",12,45,CA_36/89,1
7447,"Jct_CA_70_&_CA_149,_California","Marysville,_California",32,45,CA_70,1
7448,"Jct_CA_70_&_CA_149,_California","Paxton,_California",60,45,CA_70,1
7449,"Jct_CT_15_&_CT_34,_Connecticut","Jct_CT_15_&_CT_63,_Connecticut",4,55,Wilbur_Cross_Pkwy_[CT_15],1
7450,"Jct_CT_15_&_CT_34,_Connecticut","Jct_CT_15_&_Merritt_Pkwy,_Connecticut",5,65,Wilbur_Cross_Pkwy_[CT_15],1
7451,"Jct_CT_15_&_CT_34,_Connecticut","New_Haven,_Connecticut",6,40,CT_34,1
7452,"Jct_CT_15_&_CT_63,_Connecticut","Naugatuck,_Connecticut",13,45,CT_63,1
7453,"Jct_CT_15_&_CT_63,_Connecticut","New_Haven,_Connecticut",3,30,CT_63,1
7454,"Jct_CT_15_&_Merritt_Pkwy,_Connecticut","Milford,_Connecticut",1,65,Merritt_Pkwy,1
7455,"Jct_CT_15_&_Merritt_Pkwy,_Connecticut","Nichols,_Connecticut",4,65,Merritt_Pkwy_[CT_15],1
7456,"Jct_FL_40_&_FL_19,_Florida","Salt_Springs,_Florida",15,45,FL_19,1
7457,"Jct_FL_40_&_FL_19,_Florida","Silver_Springs,_Florida",26,45,FL_40,1
7458,"Jct_FL_40_&_FL_19,_Florida","Tavares,_Florida",23,45,FL_19,1
